timestamp,ISODate,IdBundesland,Bundesland,Impfungenkumulativ,DifferenzzumVortag,IndikationnachAlter,BeruflicheIndikation,MedizinischeIndikation,PflegeheimbewohnerIn
1609113600,2020-12-28,0,Gesamt,21566,1357,5833,7618,962,11646
1609113600,2020-12-28,1,Schleswig-Holstein,809,0,213,239,344,553
1609113600,2020-12-28,2,Hamburg,445,0,197,222,0,223
1609113600,2020-12-28,3,Niedersachsen,334,0,42,116,140,306
1609113600,2020-12-28,4,Bremen,420,0,205,87,0,0
1609113600,2020-12-28,5,Nordrhein-Westfalen,5405,0,0,1370,0,3985
1609113600,2020-12-28,6,Hessen,3112,0,1086,1694,154,1347
1609113600,2020-12-28,7,Rheinland-Pfalz,1252,0,0,620,0,632
1609113600,2020-12-28,8,Baden-Württemberg,2084,0,624,964,151,0
1609113600,2020-12-28,9,Bayern,3389,0,994,1051,68,1620
1609113600,2020-12-28,10,Saarland,215,0,168,4,0,211
1609113600,2020-12-28,11,Berlin,1626,0,1416,228,105,1398
1609113600,2020-12-28,12,Brandenburg,100,0,80,20,0,12
1609113600,2020-12-28,13,Mecklenburg-Vorpommern,590,0,0,240,0,350
1609113600,2020-12-28,14,Sachsen,182,0,90,69,0,113
1609113600,2020-12-28,15,Sachsen-Anhalt,1504,1357,669,644,0,847
1609113600,2020-12-28,16,Thüringen,99,0,49,50,0,49
1609200000,2020-12-29,0,Gesamt,41962,19084,12232,14964,1661,21767
1609200000,2020-12-29,1,Schleswig-Holstein,2495,1686,588,528,584,1136
1609200000,2020-12-29,2,Hamburg,1071,626,507,471,0,600
1609200000,2020-12-29,3,Niedersachsen,835,501,79,370,141,552
1609200000,2020-12-29,4,Bremen,592,174,276,133,0,278
1609200000,2020-12-29,5,Nordrhein-Westfalen,7136,518,0,1788,0,5348
1609200000,2020-12-29,6,Hessen,4354,1242,1480,2425,287,1702
1609200000,2020-12-29,7,Rheinland-Pfalz,1462,210,0,715,0,747
1609200000,2020-12-29,8,Baden-Württemberg,4721,2560,1720,1877,326,192
1609200000,2020-12-29,9,Bayern,5219,1830,1457,1830,91,2423
1609200000,2020-12-29,10,Saarland,862,647,658,51,0,466
1609200000,2020-12-29,11,Berlin,3839,2213,3340,517,105,3322
1609200000,2020-12-29,12,Brandenburg,107,75,60,47,0,60
1609200000,2020-12-29,13,Mecklenburg-Vorpommern,4170,3488,100,1862,2,2209
1609200000,2020-12-29,14,Sachsen,857,675,240,551,1,305
1609200000,2020-12-29,15,Sachsen-Anhalt,3985,2481,1592,1678,124,2292
1609200000,2020-12-29,16,Thüringen,257,158,135,121,0,135
1609286400,2020-12-30,0,Gesamt,78109,37273,20913,32678,2635,37302
1609286400,2020-12-30,1,Schleswig-Holstein,3579,1893,1016,1858,871,1698
1609286400,2020-12-30,2,Hamburg,1499,428,704,661,0,839
1609286400,2020-12-30,3,Niedersachsen,1527,692,83,824,145,794
1609286400,2020-12-30,4,Bremen,1059,467,528,201,3,579
1609286400,2020-12-30,5,Nordrhein-Westfalen,11385,3857,0,2771,0,8622
