Bundesland,Impfungenkumulativ,DifferenzzumVortag,IndikationnachAlter,BeruflicheIndikation,MedizinischeIndikation,PflegeheimbewohnerIn,Unnamed:7
Baden-Württemberg,24063,4014,11041,7428,1382,4200,0
Bayern,57833,11742,12855,25636,1091,20428,0
Berlin,14616,1443,9817,3647,105,10968,0
Brandenburg,3219,0,204,2995,20,224,(keine Meldung für den 02.01.; Nachmeldung erfolgt am 04.01.2020) 
Bremen,1837,96,824,465,9,265,0
Hamburg,3704,662,1439,2010,0,1696,0
Hessen,30085,5294,8443,17635,1096,11569,0
Mecklenburg-Vorpommern,11494,0,178,6583,8,4804,0
Niedersachsen,4962,1017,912,2641,982,2918,0
Nordrhein-Westfalen,48691,13142,0,18806,0,29893,0
Rheinland-Pfalz,7248,59,0,3516,0,3732,(Nachmeldungen der mobilen Teams stehen noch aus)
Saarland,4149,833,3122,495,0,1580,0
Sachsen,4343,343,368,3535,1,807,0
Sachsen-Anhalt,12822,1051,4237,6194,546,6410,0
Schleswig-Holstein,8933,969,2525,5136,2077,3987,0
Thüringen,810,0,232,297,0,413,0
Gesamt,238809,40665,56197,107019,7317,103894,0
