RS,Bundesland,Impfungenkumulativ,DifferenzzumVortag,Impfungenpro1.000Einwohner,IndikationnachAlter,BeruflicheIndikation,MedizinischeIndikation,PflegeheimbewohnerIn,Unnamed:9
8,Baden-Württemberg,42899,4971,4,22030,12661,2303,7340,0
9,Bayern,84349,1600,6,19266,41737,1595,28908,0
11,Berlin,24159,2204,7,15037,8402,105,15272,0
12,Brandenburg,8182,2778,3,436,7724,21,433,0
4,Bremen,3825,630,6,1018,1397,31,1182,0
2,Hamburg,7079,1178,4,2415,3561,86,2271,0
6,Hessen,44122,2824,7,11916,25931,1853,16780,0
13,Mecklenburg-Vorpommern,21713,2359,14,811,11746,46,9712,0
3,Niedersachsen,22608,7444,3,5209,10900,4698,13321,0
5,Nordrhein-Westfalen,79578,8851,4,0,33961,0,45625,0
7,Rheinland-Pfalz,15984,3648,4,0,9796,0,6188,0
10,Saarland,6511,878,7,4940,813,0,2430,0
14,Sachsen,13006,2239,3,858,11072,1,1933,0
15,Sachsen-Anhalt,17624,501,8,5569,8461,738,8818,0
1,Schleswig-Holstein,20078,3062,7,4842,9282,3234,7768,0
16,Thüringen,5343,1165,3,650,4096,21,583,0
0,Gesamt,417060,46332,5,94997,201540,14732,168564,0
