RS,Bundesland,Impfungenkumulativ,DifferenzzumVortag,Impfungenpro1.000Einwohner,IndikationnachAlter,BeruflicheIndikation,MedizinischeIndikation,PflegeheimbewohnerIn,Unnamed:9,Unnamed:10,Unnamed:11,Unnamed:12,Unnamed:13,Unnamed:14,Unnamed:15
8,Baden-Württemberg,92868,6872,8,49161,26901,3175,17614,0,0,0,0,0,0,0
9,Bayern,183573,15658,14,44096,93673,3143,57247,0,0,0,0,0,0,0
11,Berlin,45998,2196,13,28323,17386,105,23282,0,0,0,0,0,0,0
12,Brandenburg,33263,5694,13,7410,25370,268,3545,0,0,0,0,0,0,0
4,Bremen,10134,1099,15,1197,4786,89,3927,0,0,0,0,0,0,0
2,Hamburg,19422,1272,11,6851,8250,2263,4486,0,0,0,0,0,0,0
6,Hessen,65673,3502,10,17201,37398,3700,25588,0,0,0,0,0,0,0
13,Mecklenburg-Vorpommern,35355,2357,22,2976,17272,591,15315,0,0,0,0,0,0,0
3,Niedersachsen,78050,6442,10,15628,40754,11732,35319,0,0,0,0,0,0,0
5,Nordrhein-Westfalen,176801,25600,10,0,84253,0,92556,0,0,0,0,0,0,0
7,Rheinland-Pfalz,64219,9154,16,17781,30548,16,15874,0,0,0,0,0,0,0
10,Saarland,13301,1052,13,9796,2256,0,4461,0,0,0,0,0,0,0
14,Sachsen,39332,4744,10,3005,31443,1,7888,0,0,0,0,0,0,0
15,Sachsen-Anhalt,31723,2275,14,10103,15590,1311,14302,0,0,0,0,0,0,0
1,Schleswig-Holstein,52740,4677,18,14965,19722,5453,18214,0,0,0,0,0,0,0
16,Thüringen,19230,2060,9,3428,13211,248,2150,0,0,0,0,0,0,0
0,Gesamt,961682,94654,12,231921,468813,32095,341768,0,0,0,0,0,0,0
