Timestamp,RS,State,abs_1st_vac_A12-A17,abs_1st_vac_A18-A59,abs_1st_vac_A00-A59,abs_1st_vac_A60+,abs_2nd_vac_A12-A17,abs_2nd_vac_A18-A59,abs_2nd_vac_A00-A59,abs_2nd_vac_A60+,abs_3rd_vac_A12-A17,abs_3rd_vac_A18-A59,abs_3rd_vac_A00-A59,abs_3rd_vac_A60+
1618876800,16,Thüringen,-1,-1,153301,274294,-1,-1,50126,123872,,,,
1618963200,16,Thüringen,-1,-1,157673,282183,-1,-1,50639,126088,,,,
1619049600,16,Thüringen,-1,-1,161325,291042,-1,-1,52427,130427,,,,
1619136000,16,Thüringen,-1,-1,164943,298817,-1,-1,54338,134641,,,,
1619222400,16,Thüringen,-1,-1,167967,303152,-1,-1,56548,138633,,,,
1619308800,16,Thüringen,-1,-1,167967,303152,-1,-1,56548,138633,,,,
1619395200,16,Thüringen,-1,-1,169153,308505,-1,-1,60066,147089,,,,
1619481600,16,Thüringen,-1,-1,172155,312308,-1,-1,62087,150670,,,,
1619568000,16,Thüringen,-1,-1,175009,320861,-1,-1,62168,150889,,,,
1619654400,16,Thüringen,-1,-1,178170,331579,-1,-1,62569,152009,,,,
1619740800,16,Thüringen,-1,-1,191090,348294,-1,-1,69805,164859,,,,
1619827200,16,Thüringen,-1,-1,191090,348294,-1,-1,69805,164859,,,,
1619913600,16,Thüringen,-1,-1,191090,348294,-1,-1,69805,164859,,,,
1620000000,16,Thüringen,-1,-1,197442,364188,-1,-1,75785,171538,,,,
1620086400,16,Thüringen,-1,-1,200881,367645,-1,-1,77978,174665,,,,
1620172800,16,Thüringen,-1,-1,206695,377176,-1,-1,80683,179431,,,,
1620259200,16,Thüringen,-1,-1,213303,388107,-1,-1,84172,185320,,,,
1620345600,16,Thüringen,-1,-1,219508,398251,-1,-1,87878,191393,,,,
1620432000,16,Thüringen,-1,-1,224421,402710,-1,-1,91968,196066,,,,
1620518400,16,Thüringen,-1,-1,224421,402710,-1,-1,91968,196066,,,,
1620604800,16,Thüringen,-1,-1,226262,412205,-1,-1,92852,196988,,,,
1620691200,16,Thüringen,-1,-1,226262,412205,-1,-1,92852,196988,,,,
1620777600,16,Thüringen,-1,-1,230613,415968,-1,-1,95749,200546,,,,
1620864000,16,Thüringen,-1,-1,238825,426697,-1,-1,99886,206630,,,,
1620950400,16,Thüringen,-1,-1,256554,443439,-1,-1,104079,213319,,,,
1621036800,16,Thüringen,-1,-1,263177,446719,-1,-1,105459,215090,,,,
1621209600,16,Thüringen,-1,-1,270726,448708,-1,-1,106654,215791,,,,
1621296000,16,Thüringen,-1,-1,270726,448708,-1,-1,106654,215791,,,,
1621382400,16,Thüringen,-1,-1,283287,457144,-1,-1,112011,222520,,,,
