Bundesland,Impfungenkumulativ,DifferenzzumVortag,IndikationnachAlter,BeruflicheIndikation,MedizinischeIndikation,PflegeheimbewohnerIn
Baden-Württemberg,12649,4407,5347,4196,763,1831
Bayern,28206,15104,5831,13981,424,10347
Berlin,9084,2788,6554,2733,105,6350
Brandenburg,3036,1483,204,2812,20,224
Bremen,1691,601,821,408,5,510
Hamburg,2040,541,832,1042,0,999
Hessen,15674,6226,4677,8681,712,6512
Mecklenburg-Vorpommern,11101,3640,173,6349,7,4651
Niedersachsen,2705,1178,296,1512,315,1423
Nordrhein-Westfalen,19930,7359,0,6610,0,13693
Rheinland-Pfalz,4247,1673,0,1941,0,2306
Saarland,2119,601,1641,161,0,899
Sachsen,2653,1166,150,2460,1,192
Sachsen-Anhalt,10100,2813,3107,5068,300,4815
Schleswig-Holstein,5581,1747,1385,3361,1175,2241
Thüringen,810,138,232,297,0,413
Gesamt,131626,51465,31250,61612,3827,57406
