Bundesland,Impfungenkumulativ,DifferenzzumVortag,Impfungenpro1.000Einwohner,IndikationnachAlter,BeruflicheIndikation,MedizinischeIndikation,PflegeheimbewohnerIn,Unnamed:8
Baden-Württemberg,32182,4758,3,15546,9828,1716,5642,0
Bayern,77876,11618,6,18188,38306,1554,26500,0
Berlin,19389,1631,5,11608,6783,105,12575,0
Brandenburg,3334,25,1,227,3087,20,224,0
Bremen,2653,700,4,942,811,18,651,0
Hamburg,4756,616,3,1704,2698,0,2060,0
Hessen,37795,4390,6,10329,22051,1492,14561,0
Mecklenburg-Vorpommern,13832,1773,9,242,7738,29,5968,0
Niedersachsen,8665,3271,1,1791,4198,1915,5251,0
Nordrhein-Westfalen,62692,4435,3,0,25744,0,36956,0
Rheinland-Pfalz,9891,1609,2,0,5435,0,4456,0
Saarland,4836,687,5,3655,584,0,1823,0
Sachsen,7740,2874,2,662,6354,1,1385,0
Sachsen-Anhalt,15628,2262,7,4967,7523,649,7804,0
Schleswig-Holstein,12978,3421,4,3427,6611,2716,5616,0
Thüringen,2715,493,1,446,1976,1,413,0
Gesamt,316962,44563,4,73734,149727,10216,131885,0
