RS,Bundesland,Impfungenkumulativ,DifferenzzumVortag,Impfungenpro1.000Einwohner,IndikationnachAlter,BeruflicheIndikation,MedizinischeIndikation,PflegeheimbewohnerIn,Unnamed:9
8,Baden-Württemberg,65488,4369,6,35369,19392,2838,10274,0
9,Bayern,120136,12109,9,27674,59598,2117,41058,0
11,Berlin,32014,1026,9,21120,10308,105,19661,0
12,Brandenburg,14063,0,6,1682,12236,87,982,0
4,Bremen,6303,491,9,1070,2607,43,2426,0
2,Hamburg,12695,1336,7,4312,6397,144,3361,0
6,Hessen,54361,2120,9,14595,31645,2723,20567,0
13,Mecklenburg-Vorpommern,25141,0,16,1473,13122,194,11541,0
3,Niedersachsen,45342,513,6,9968,22613,8519,25233,0
5,Nordrhein-Westfalen,114762,3676,6,0,52000,0,62770,0
7,Rheinland-Pfalz,29994,1866,7,3852,16859,5,9278,0
10,Saarland,9157,0,9,6956,1229,0,3253,0
14,Sachsen,19756,715,5,1357,16051,1,3704,0
15,Sachsen-Anhalt,21914,0,10,6860,10787,1057,10698,0
1,Schleswig-Holstein,31431,0,11,7457,13050,4301,12323,(Meldung steht noch aus)
16,Thüringen,10790,0,5,903,8861,25,924,(Meldung aus KH steht noch aus)
0,Gesamt,613347,28221,7,144648,296755,22159,238053,0
