RS,Bundesland,Impfungenkumulativ,DifferenzzumVortag,Impfungenpro1.000Einwohner,IndikationnachAlter,BeruflicheIndikation,MedizinischeIndikation,PflegeheimbewohnerIn,ImpfungenkumulativBiontec,ImpfungenkumulativModerna
8,Baden-Württemberg,128128,5796,11.543,65325,39054,3994,25164,127808,320
9,Bayern,226316,5998,17.243,55636,118033,4116,66990,219041,7275
11,Berlin,57184,2050,15.584,38195,18799,108,26239,56384,800
12,Brandenburg,45071,3977,17.872,13698,31362,496,6931,45071,0
4,Bremen,12799,461,18.789,1502,6026,103,5085,11626,1173
2,Hamburg,28602,1980,15.484,10602,13276,1822,7534,28392,210
6,Hessen,76907,2836,12.231,20172,43333,4328,29791,76907,0
13,Mecklenburg-Vorpommern,41827,2310,26.010,4601,19680,836,17326,41339,488
3,Niedersachsen,101251,6410,12.666,20080,54128,16323,45373,99700,1551
5,Nordrhein-Westfalen,223549,2778,12.456,0,110524,0,113033,223549,0
7,Rheinland-Pfalz,99282,6609,24.251,33946,42844,41,22451,96285,2997
10,Saarland,17759,802,17.995,12754,3280,0,6049,17759,0
14,Sachsen,58576,4913,14.385,5283,44705,1,13870,58576,0
15,Sachsen-Anhalt,35940,1529,16.375,11792,17506,1477,15423,35640,300
1,Schleswig-Holstein,72506,3380,24.970,19504,23853,5461,18392,72406,100
16,Thüringen,29063,2512,13.623,6144,16956,708,3262,29063,0
0,Gesamt,1254760,54341,15.087,319234,603359,39814,422913,1239546,15214
