RS,Bundesland,Impfungenkumulativ,DifferenzzumVortag,Impfungenpro1.000Einwohner,IndikationnachAlter,BeruflicheIndikation,MedizinischeIndikation,PflegeheimbewohnerIn,ImpfungenkumulativBiontec,ImpfungenkumulativModerna,ZweiteImpfungkumulativ,ZweiteImpfungDifferenzzumVortag
8,Baden-Württemberg,6690737,10549,602.748,-1,-1,-1,-1,4672518,536072,6090103,47257
9,Bayern,7857603,12523,598.687,-1,-1,-1,-1,5561176,641347,6884017,75742
11,Berlin,2259363,5099,615.716,-1,-1,-1,-1,1570611,259683,1946074,16211
12,Brandenburg,1420972,3256,563.455,-1,-1,-1,-1,970379,125714,1270364,8663
4,Bremen,484867,917,711.782,-1,-1,-1,-1,327828,29603,434083,2896
2,Hamburg,1191414,3610,644.965,-1,-1,-1,-1,829815,116413,950922,11626
6,Hessen,3898534,6704,619.988,-1,-1,-1,-1,2677727,330038,3326019,25752
13,Mecklenburg-Vorpommern,971459,2939,604.089,-1,-1,-1,-1,705259,77870,868135,9786
3,Niedersachsen,5205346,6959,651.189,-1,-1,-1,-1,3306886,457443,4332606,44587
5,Nordrhein-Westfalen,11769801,18856,655.801,-1,-1,-1,-1,8138025,760160,10014779,91188
7,Rheinland-Pfalz,2602158,4937,635.618,-1,-1,-1,-1,1844805,202617,2239912,20064
10,Saarland,675443,1081,684.418,-1,-1,-1,-1,505763,55457,574506,5916
14,Sachsen,2144672,5253,526.691,-1,-1,-1,-1,1566249,194435,1972322,10639
15,Sachsen-Anhalt,1268195,2467,577.823,-1,-1,-1,-1,889474,112715,1145040,10211
1,Schleswig-Holstein,1931280,5734,665.093,-1,-1,-1,-1,1315728,158314,1668654,17005
16,Thüringen,1193546,1833,559.463,-1,-1,-1,-1,852858,123999,1111577,5696
0,Gesamt,51750882,92974,622.255,-1,-1,-1,-1,35814098,4263660,44999521,404294
