RS,Bundesland,Impfungenkumulativ,DifferenzzumVortag,Impfungenpro1.000Einwohner,IndikationnachAlter,BeruflicheIndikation,MedizinischeIndikation,PflegeheimbewohnerIn,ImpfungenkumulativBiontec,ImpfungenkumulativModerna,ZweiteImpfungkumulativ,ZweiteImpfungDifferenzzumVortag,Auffrischimpfungen
8,Baden-Württemberg,8220173,405,740.530,-1,-1,-1,-1,5910460,641524,8246398,611,6360633
9,Bayern,9732928,341,741.571,-1,-1,-1,-1,7122496,763823,9836261,928,7416488
11,Berlin,2849017,90,776.407,-1,-1,-1,-1,2036730,330239,2828620,233,2201575
12,Brandenburg,1758195,43,697.173,-1,-1,-1,-1,1239342,153451,1749374,137,1319543
4,Bremen,614915,24,902.691,-1,-1,-1,-1,421128,45849,607464,103,443226
2,Hamburg,1543313,1877,835.464,-1,-1,-1,-1,1109666,130010,1541278,283,1122420
6,Hessen,4835723,167,769.030,-1,-1,-1,-1,3451699,407733,4701742,333,3582860
13,Mecklenburg-Vorpommern,1198610,64,745.340,-1,-1,-1,-1,885523,99486,1200499,95,922335
3,Niedersachsen,6284948,194,786.247,-1,-1,-1,-1,4196624,517211,6223272,412,5099348
5,Nordrhein-Westfalen,14431814,367,804.125,-1,-1,-1,-1,10404476,910442,14166815,687,11070885
7,Rheinland-Pfalz,3181982,83,777.249,-1,-1,-1,-1,2324227,242728,3084546,139,2427951
10,Saarland,811891,23,822.679,-1,-1,-1,-1,612440,65845,810284,76,652270
14,Sachsen,2654671,116,651.938,-1,-1,-1,-1,1999777,242099,2621551,308,1964323
15,Sachsen-Anhalt,1570659,61,715.633,-1,-1,-1,-1,1122392,146735,1598752,164,1191121
1,Schleswig-Holstein,2343957,103,807.211,-1,-1,-1,-1,1657768,191472,2352764,311,2104581
16,Thüringen,1489727,58,702.623,-1,-1,-1,-1,1081684,141273,1491882,160,1102457
0,Gesamt,63724585,4016,766.227,-1,-1,-1,-1,45666725,5113256,63256538,4981,49124527
